hotel,lead_band,cancellation_rate,bookings
City Hotel,0-90 days,30.790565475508284,43627
Resort Hotel,0-90 days,20.06775691162324,23909
City Hotel,90-180 days,48.018008125617655,18214
Resort Hotel,90-180 days,37.419276227610574,8207
City Hotel,180-270 days,52.474765900522925,8223
Resort Hotel,180-270 days,41.563227307990694,5156
City Hotel,270-365 days,76.74032231267653,6019
Resort Hotel,270-365 days,40.59729351376575,2143
City Hotel,365+ days,71.1431742508324,2703
Resort Hotel,365+ days,46.62162162162162,444
